name,category_list,funding_total_usd,country_code,state_code,founded_at,funding_rounds,first_funding_at,last_funding_at,status_binary
One Block Off the Grid (1BOG),"['Clean Technology', 'Residential Solar']",5000000.0,USA,CA,2008-11-01 00:00:00.000000000,1,2010-02-11,2010-02-11,0
1C Company,"['Games', 'Software', 'Video Games']",200000000.0,RUS,48,1991-01-01 00:00:00.000000000,1,2011-10-03,2011-10-03,0
1Cast,"['Content', 'Lifestyle', 'News', 'Video']",41358853.86867132,USA,WA,2006-06-01 00:00:00.000000000,1,2008-08-12,2008-08-12,0
1CLICK,"['Chat', 'Mobile']",16226805.084210526,IND,19,2012-11-01 00:00:00.000000000,1,2014-01-26,2014-01-26,1
1DayLater,"['Curated Web', 'Tracking']",43811.0,AUS,2,2009-08-26 00:00:00.000000000,2,2009-05-01,2009-10-01,0
1DayMakeover,"['Cosmetics', 'E-Commerce', 'Fashion', 'Lifestyle', 'Personal Health', 'Shopping']",50000.0,USA,CA,2008-06-30 00:00:00.000000000,1,2008-06-30,2008-06-30,0
1DocWay,"['Doctors', 'Health Care', 'Health Care Information Technology', 'Video', 'Video Chat']",1700000.0,USA,NY,2011-02-01 00:00:00.000000000,2,2011-08-10,2015-07-21,1
2100b Sausalito LLC.,"['Advertising', 'Direct Marketing', 'Social Media']",50000.0,USA,CA,2011-06-15 00:00:00.000000000,2,2013-01-01,2013-01-01,0
21viaNet,"['Software', 'Web Hosting']",396000000.0,CHN,22,2009-10-16 00:00:00.000000000,5,2008-02-13,2014-12-04,1
22nd Century Group,['Biotechnology'],15034750.0,USA,NY,1998-01-01 00:00:00.000000000,6,2010-12-28,2014-09-18,1
22seeds,"['Android', 'Apps', 'Internet', 'iPhone', 'Mobile', 'Sales and Marketing', 'Software', 'Web Development', 'Web Tools']",250000.0,ISR,5,2010-01-01 00:00:00.000000000,1,2013-10-15,2013-10-15,0
24/7 Card,['Finance'],3452941.0,USA,CA,2006-07-14 13:31:02.880490288,3,2010-10-25,2011-12-21,0
24h00,"['Advertising', 'E-Commerce', 'Marketing Automation']",15698415.835953712,FRA,A8,2006-01-01 00:00:00.000000000,1,2006-08-01,2006-08-01,0
24PageBooks,['Software'],50000.0,USA,NY,2010-01-01 00:00:00.000000000,1,2011-05-24,2011-05-24,0
25eight,"['DIY', 'Electronics', 'Software']",25000.0,USA,CA,2005-10-15 13:31:02.880490288,1,2010-01-26,2010-01-26,0
27 Perry,"['E-Commerce', 'Finance', 'Marketplaces']",118000.0,USA,CO,2012-07-25 00:00:00.000000000,1,2012-05-17,2012-05-17,0
280 North,"['Presentations', 'Software']",250000.0,USA,CA,2003-09-20 13:31:02.880490288,2,2008-01-01,2008-03-01,1
2lemetry,"['Internet of Things', 'M2M', 'Software']",4000000.0,USA,CO,2011-09-01 00:00:00.000000000,1,2015-01-09,2015-01-09,1
2mee,"['Content', 'Software', 'Sports']",100000.0,SGP,unknown,2011-01-03 13:31:02.880490288,1,2015-04-16,2015-04-16,0
"2nd Story Software, Inc.",['Software'],85000000.0,USA,IA,1998-02-15 00:00:00.000000000,1,2005-03-30,2005-03-30,1
2pm Technologies,"['SaaS', 'Technology', 'Telecommunications']",3167062.0,IRL,10,1999-11-23 00:00:00.000000000,1,2002-11-01,2002-11-01,0
2U Inc.,"['EdTech', 'Education', 'Software']",95875000.0,USA,MD,2008-01-01 00:00:00.000000000,6,2009-03-25,2013-10-21,1
2Web Technologies,['Software'],15515606.656651298,SGP,unknown,1997-08-20 13:31:02.880490288,1,2001-12-01,2001-12-01,1
2Win-Solutions,"['Collaboration', 'Networking', 'Project Management', 'SaaS', 'Software', 'Task Management']",15545129.460227273,ISR,2,2003-09-20 13:31:02.880490288,1,2008-01-01,2008-01-01,0
2Wire,['Curated Web'],162000000.0,USA,CA,1995-07-21 13:31:02.880490288,5,1999-11-01,2003-05-12,1
3 day Blinds,"['Interior Design', 'Retail', 'Services']",41358853.86867132,USA,CA,1984-01-01 00:00:00.000000000,1,1998-03-13,1998-03-13,1
360Commerce,"['Information Technology', 'Retail', 'Software']",15000000.0,USA,TX,1996-09-20 13:31:02.880490288,2,2001-01-01,2003-10-29,1
360T,"['Finance', 'FinTech']",26718000.17836007,DEU,5,2000-01-01 00:00:00.000000000,1,2012-02-16,2012-02-16,1
3ClickEMR Corporation,"['Consumer Electronics', 'Electronic Health Records', 'Health Care', 'iPad', 'Software']",500000.0,USA,MA,2010-06-23 00:00:00.000000000,2,2010-06-23,2011-06-01,0
XDN/3Crowd Technologies,['Enterprise Software'],7289000.0,USA,CA,2010-01-01 00:00:00.000000000,3,2009-12-22,2012-07-01,1
3D FUTURE VISION II,['Games'],503000.0,USA,FL,2011-01-01 00:00:00.000000000,2,2011-06-22,2013-03-21,0
3D Systems,['Software'],169500000.0,USA,SC,1986-01-01 00:00:00.000000000,3,2014-01-15,2014-10-13,1
3DC,['Technology'],210179.5,BGR,42,2009-01-01 00:00:00.000000000,1,2009-01-01,2009-01-01,1
3DDUO,"['Business Services', 'Video Games']",701760.0,FRA,B4,2005-03-01 13:31:02.880490288,1,2009-06-12,2009-06-12,0
3DPhy.com,"['Creative', 'Digital Media']",204952.0,SGP,unknown,2013-11-21 00:00:00.000000000,1,2014-12-18,2014-12-18,0
Nimble VR,['Software'],2249999.0,USA,CA,2012-01-01 00:00:00.000000000,2,2012-03-30,2014-04-02,1
3i Systems,['Semiconductors'],13708150.0,CHN,5,2006-11-01 00:00:00.000000000,3,2007-08-20,2010-03-01,0
3Leaf,['Web Hosting'],65000000.0,USA,CA,2004-06-01 00:00:00.000000000,3,2005-01-01,2008-09-22,1
3LM,"['Android', 'Enterprises', 'Mobile']",1500000.0,SGP,unknown,2010-07-01 00:00:00.000000000,1,2010-07-01,2010-07-01,1
3PAR,"['Cloud Data Services', 'Services', 'Software']",148000000.0,USA,CA,1999-01-01 00:00:00.000000000,3,2000-05-01,2004-02-10,1
3TIER,['Clean Technology'],15000000.0,USA,WA,1999-01-01 00:00:00.000000000,3,2007-09-05,2010-02-25,1
3Touch,['Software'],272000.0,IRL,29,2003-01-01 00:00:00.000000000,1,2007-05-01,2007-05-01,0
3V Transaction Services,"['Coupons', 'Online Shopping', 'Payments', 'Retail Technology']",50958896.6114209,IRL,7,2004-01-01 00:00:00.000000000,2,2006-10-31,2013-03-01,1
3ware,"['Databases', 'Electronics', 'Storage']",26000000.0,USA,CA,1998-10-31 13:31:02.880490288,1,2003-02-11,2003-02-11,1
41st Parameter,['Security'],38064570.0,USA,CA,2004-01-01 00:00:00.000000000,4,2006-05-08,2012-04-11,1
42Networks,['Web Hosting'],2258720.0,SWE,26,2001-11-02 13:31:02.880490288,1,2006-02-13,2006-02-13,1
42Race,"['Online Travel', 'Sports', 'Travel']",500000.0,SGP,unknown,2015-05-01 00:00:00.000000000,1,2015-06-01,2015-06-01,0
4Blox,['Software'],41358853.86867132,USA,CA,2006-08-01 00:00:00.000000000,1,2007-09-10,2007-09-10,0
4DK Technologies,['Mobile'],3378975.0,USA,VA,2005-01-01 00:00:00.000000000,1,2011-12-12,2011-12-12,1
4Home,"['Automotive', 'Clean Energy', 'Cloud Computing', 'Internet', 'Software', 'Wireless']",9416354.0,USA,CA,2006-01-01 00:00:00.000000000,6,2006-08-01,2010-02-03,1
4meee,['E-Commerce'],500000.0,JPN,40,2010-05-02 13:31:02.880490288,1,2014-08-13,2014-08-13,1
500Friends,"['E-Commerce', 'Enterprise Software', 'Loyalty Programs', 'Social Media']",12900000.0,USA,CA,2010-01-01 00:00:00.000000000,6,2009-12-15,2013-03-12,1
51 Auto,['Automotive'],4500000.0,SGP,unknown,2004-02-19 13:31:02.880490288,1,2008-06-01,2008-06-01,0
56.com,['Photography'],30000000.0,CHN,30,2005-04-01 00:00:00.000000000,2,2007-06-01,2007-12-01,1
58.com,"['Curated Web', 'Internet', 'Software']",876780000.0,CHN,19,2005-01-01 00:00:00.000000000,6,2006-02-01,2014-06-27,1
59sec,"['Advertising', 'Lead Management', 'Sales and Marketing']",27428.6215837652,SGP,unknown,2015-08-22 00:00:00.000000000,1,2015-08-01,2015-08-01,0
5BARz International,"['Mobile', 'Technology', 'Wireless']",6100000.0,USA,WA,2008-01-01 00:00:00.000000000,2,2013-11-12,2014-11-17,1
5by,"['Apps', 'Photography', 'Photo Sharing']",41358853.86867132,USA,CA,2012-01-01 00:00:00.000000000,1,2013-02-28,2013-02-28,1
5min Media,"['Education', 'Games', 'Video']",12800000.0,USA,NY,2007-01-01 00:00:00.000000000,3,2007-04-01,2009-07-23,1
5Rocks,['Games'],3987693.0,KOR,11,2013-06-18 00:00:00.000000000,2,2010-09-01,2013-09-03,1
5th Finger,['Mobile'],7000000.0,USA,CA,2008-01-01 00:00:00.000000000,1,2008-06-13,2008-06-13,1
5to1,"['Advertising', 'Internet', 'Internet Marketing']",17129760.0,USA,WA,2009-01-01 00:00:00.000000000,4,2009-06-17,2010-11-10,1
60mo,"['Accounting', 'Business Development', 'Finance', 'Software', 'Web Development']",1300000.0,GBR,U8,2009-06-01 00:00:00.000000000,3,2009-06-29,2011-01-19,1
640 Labs,['Software'],3050000.0,USA,IL,2013-01-01 00:00:00.000000000,3,2014-06-20,2014-10-20,1
6D Global Technologies,['Services'],11052498.0,USA,NY,2010-08-21 13:31:02.880490288,2,2014-12-02,2015-08-20,1
6N Silicon,"['Concentrated Solar Power', 'Manufacturing', 'Solar']",5714285.71428571,CAN,ON,2006-01-01 00:00:00.000000000,1,2007-07-14,2007-07-14,1
6th Sense Analytics,['Software'],6700000.0,USA,NC,2004-01-01 00:00:00.000000000,2,2005-11-11,2007-01-31,1
6Wunderkinder / Wunderlist,"['Android', 'Apps', 'Cloud Computing', 'Collaboration', 'Email', 'Finance', 'Home & Garden', 'Internet', 'iOS', 'iPad', 'iPhone', 'Mac', 'Productivity Software', 'Software', 'Synchronization', 'Task Management', 'Web Development']",23857750.0,DEU,unknown,2010-09-01 00:00:00.000000000,5,2010-12-21,2013-11-12,1
7 Billion People,"['Analytics', 'E-Commerce', 'Software']",6528902.0,USA,TX,2006-01-01 00:00:00.000000000,3,2009-02-09,2012-07-13,0
77 Pieces,['Curated Web'],650000.0,NZL,G2,2010-05-25 00:00:00.000000000,1,2011-03-01,2011-03-01,0
7digital,"['Content Creators', 'Content Delivery', 'Licensing', 'Music', 'Music Services', 'Technology']",20068328.451591,GBR,H9,2004-01-01 00:00:00.000000000,4,2005-09-01,2013-11-25,1
80/20 Solutions,"['Advertising', 'Email', 'Loyalty Programs', 'Mobile', 'SaaS', 'Sales and Marketing', 'Social Media', 'Software']",2100000.0,CAN,ON,2005-04-26 13:31:02.880490288,1,2009-08-07,2009-08-07,0
8aweek,"['Curated Web', 'Task Management']",15515606.656651298,SGP,unknown,2008-01-01 00:00:00.000000000,1,2008-03-02,2008-03-02,0
8D World,"['Games', 'Virtual Worlds']",12250000.0,USA,MA,2003-11-19 13:31:02.880490288,2,2008-03-01,2010-12-09,0
8hands,"['Messaging', 'Public Relations', 'Social Media']",1500000.0,ISR,unknown,2003-09-20 13:31:02.880490288,2,2008-01-01,2008-01-01,0
8x8 Inc,"['Contact Centers', 'Telecommunications', 'Unifed Communications', 'Video Conferencing']",126000000.0,USA,CA,1987-01-01 00:00:00.000000000,1,2013-11-20,2013-11-20,1
909c,"['Apps', 'Publishing', 'Social Media', 'Social Media Marketing']",1292301.0,SGP,unknown,2010-01-01 00:00:00.000000000,1,2013-07-05,2013-07-05,0
91 Wireless,['Mobile'],30000000.0,CHN,3,2010-09-01 00:00:00.000000000,1,2011-12-01,2011-12-01,1
99 Fahrenheit,['Finance'],1380700.0,ITA,9,2011-10-01 00:00:00.000000000,1,2011-10-15,2011-10-15,0
99Bill,"['E-Commerce', 'Payments']",83574271.0,CHN,23,2005-01-01 00:00:00.000000000,5,2005-08-12,2012-12-14,1
99dresses,"['Fashion', 'File Sharing']",105651.0,AUS,2,2010-01-01 00:00:00.000000000,2,2012-03-30,2012-06-01,0
99times.cn,['E-Commerce'],171682000.60144928,CHN,23,2005-01-01 00:00:00.000000000,1,2010-08-23,2010-08-23,0
9car Technology LLC,"['Automotive', 'Cars', 'E-Commerce']",80000.0,CHN,22,2009-11-18 00:00:00.000000000,2,2009-11-18,2010-01-06,0
9Cookies,"['Point of Sale', 'Restaurants']",26718000.17836007,DEU,16,2012-01-01 00:00:00.000000000,1,2013-04-18,2013-04-18,1
9facts,"['SEO', 'Social Media']",70000.0,RUS,71,2011-05-01 00:00:00.000000000,1,2011-05-01,2011-05-01,0
9SLIDES,"['Enterprises', 'Enterprise Software', 'iPad', 'Presentations', 'SaaS', 'Training']",925000.0,USA,WA,2010-06-01 00:00:00.000000000,2,2013-05-30,2013-10-03,1
A Bit Lucky,"['Games', 'Social Games']",10312103.0,USA,CA,2009-10-01 00:00:00.000000000,2,2010-03-15,2011-03-25,0
A-Life Medical,['Biotechnology'],3000000.0,USA,CA,2005-02-20 13:31:02.880490288,1,2009-06-03,2009-06-03,1
A-Power Energy Generation Systems,['Clean Technology'],10200000.0,CHN,19,2003-01-01 00:00:00.000000000,1,2011-01-19,2011-01-19,0
A Smarter City,"['Networking', 'Sensors', 'Software', 'Wireless']",15000.0,SGP,unknown,2011-03-05 00:00:00.000000000,1,2011-03-05,2011-03-05,0
A10 Networks,"['Cloud Computing', 'Communications Hardware', 'Hardware', 'Networking', 'Optimization', 'Security', 'SEO', 'Technology', 'Virtualization', 'Web Hosting']",118000000.0,USA,CA,2004-10-01 00:00:00.000000000,4,2005-01-01,2013-10-03,1
A123 Systems,"['Batteries', 'Clean Technology', 'Energy Storage', 'Mobile']",502860000.0,USA,MA,2001-01-01 00:00:00.000000000,8,2005-11-01,2012-06-07,1
A2B,"['Online Rental', 'Online Reservations', 'Transportation']",500000.0,RUS,66,2009-01-30 13:31:02.880490288,1,2013-05-13,2013-05-13,0
A4Vision,['3D Technology'],41358853.86867132,USA,CA,2000-11-25 13:31:02.880490288,1,2005-03-08,2005-03-08,1
A8 Digital Music,['Music'],50000000.0,CHN,30,2000-01-01 00:00:00.000000000,2,2004-10-01,2005-12-08,1
AAC Technologies Holdings,['Hardware + Software'],171682000.60144928,CHN,2,1993-01-01 00:00:00.000000000,1,2004-11-10,2004-11-10,1
Aarden Pharmaceuticals,['Biotechnology'],500000.0,USA,IN,2008-01-01 00:00:00.000000000,1,2011-01-03,2011-01-03,0
Aardvark,['Search'],6000000.0,USA,CA,2007-07-01 00:00:00.000000000,2,2007-01-01,2008-10-01,1
Aarohi communication,"['Application Platforms', 'Communications Infrastructure', 'Storage']",14000000.0,USA,CA,1997-04-20 13:31:02.880490288,3,2001-08-01,2003-08-29,1
Aastrom Biosciences,['Biotechnology'],40000000.0,USA,MI,1989-01-01 00:00:00.000000000,1,2012-03-09,2012-03-09,1
Abacast,['Analytics'],500000.0,USA,WA,2000-04-02 00:00:00.000000000,1,2010-11-11,2010-11-11,1
Tunepresto,"['Music', 'Video Editing', 'Web Development']",263400.0,IRL,10,2008-01-01 00:00:00.000000000,1,2007-01-01,2007-01-01,0
Abattis Bioceuticals,['Biotechnology'],400988.0,CAN,BC,1997-09-29 00:00:00.000000000,3,2010-11-03,2014-04-07,1
Abaxia,['Software'],1770000.0,FRA,A8,2001-01-01 00:00:00.000000000,1,2005-11-08,2005-11-08,1
Abazab,['Curated Web'],4400000.0,USA,CA,1997-01-01 00:00:00.000000000,2,2006-05-05,2009-05-04,0
ABB,"['Automotive', 'Clean Technology', 'Energy', 'Technology']",2700000.0,CHE,25,1988-01-01 00:00:00.000000000,1,2013-09-23,2013-09-23,1
AbbeyPost,"['E-Commerce', 'Fashion', 'Women']",875000.0,USA,CA,2014-04-01 00:00:00.000000000,5,2013-07-30,2014-07-11,1
Abbott Labs,"['Biotechnology', 'Health and Wellness', 'Medical', 'Venture Capital']",6790000.0,USA,IL,1991-01-01 00:00:00.000000000,2,2009-03-16,2011-03-15,1
ABC Live,['Advertising'],25000.0,IND,5,2007-12-05 00:00:00.000000000,1,2007-01-05,2007-01-05,0
Abcellute,['Biotechnology'],805908.0,GBR,H9,2001-01-01 00:00:00.000000000,1,2007-09-21,2007-09-21,0
AbeBooks,"['Curated Web', 'Textbooks']",21906545.70101279,CAN,BC,1996-01-01 00:00:00.000000000,1,2003-09-01,2003-09-01,1
AbiDoc,"['Doctors', 'Health Care', 'Health Diagnostics']",1833333.0,SGP,unknown,2008-07-06 13:31:02.880490288,2,2012-10-17,2014-02-04,0
Ablation Frontiers,"['Innovation Engineering', 'Medical', 'Medical Devices']",21800000.0,USA,CA,2003-04-05 13:31:02.880490288,1,2007-07-17,2007-07-17,1
Ablynx,['Biotechnology'],186036236.0,BEL,8,2001-01-01 00:00:00.000000000,6,2002-09-25,2014-08-13,1
Abound Solar,"['Clean Technology', 'Solar']",510000000.0,USA,CO,2007-01-01 00:00:00.000000000,2,2010-07-06,2010-12-15,0
Web Reservations International,"['Curated Web', 'Web Development']",8575179.433517292,IRL,7,1999-12-19 13:31:02.880490288,1,2004-03-31,2004-03-31,1
Absolutely Training,['Education'],451198.382904996,SGP,unknown,2001-05-01 13:31:02.880490288,1,2005-08-12,2005-08-12,0
Abtech Holdings,"['Engineering Firms', 'Environmental Innovation', 'Technology']",1400000.0,USA,AZ,1995-01-01 00:00:00.000000000,1,2015-05-18,2015-05-18,1
FashionAde.com (Abundant Closet),['E-Commerce'],60000.0,USA,GA,2008-01-01 00:00:00.000000000,1,2010-02-23,2010-02-23,0
Abzena,['Biotechnology'],64640151.5803158,GBR,H9,2002-01-01 00:00:00.000000000,2,2014-07-07,2015-11-24,1
AbZorba Games,"['Apps', 'Games', 'Mobile', 'Social Media', 'Software']",396998.0,SGP,unknown,2012-04-27 00:00:00.000000000,1,2012-05-01,2012-05-01,1
A.C. Moore,['E-Commerce'],10000000.0,USA,NJ,1984-01-01 00:00:00.000000000,1,2009-06-05,2009-06-05,1
Acacia Research,"['Business Services', 'Intellectual Asset Management', 'Licensing']",255100000.0,USA,CA,1993-01-01 00:00:00.000000000,3,1999-11-22,2012-02-21,1
Academic Earth,"['EdTech', 'Education', 'Video']",41358853.86867132,USA,CA,2008-01-01 00:00:00.000000000,1,2008-10-01,2008-10-01,1
Academy Events Services,"['Events', 'Manufacturing', 'Services']",27000000.0,SGP,unknown,1998-06-30 13:31:02.880490288,1,2002-10-11,2002-10-11,0
Academy123,['Education'],2000000.0,USA,CA,2004-01-01 00:00:00.000000000,1,2004-08-01,2004-08-01,1
ACADIA Pharmaceuticals,"['Biotechnology', 'Health Care']",126385000.0,USA,CA,1998-12-18 13:31:02.880490288,3,2003-03-31,2013-01-02,1
AcceleCare Wound Centers,"['Health Care', 'Hospitals', 'Medical']",13500000.0,USA,WA,2003-03-22 13:31:02.880490288,2,2007-07-03,2007-12-11,1
Accelera Innovations,['Health and Wellness'],200000000.0,USA,IL,2009-07-13 13:31:02.880490288,1,2013-10-24,2013-10-24,1
Accelerate Diagnostics,"['Health Care', 'Health Diagnostics', 'Medical Devices']",63016244.0,USA,AZ,2004-01-01 00:00:00.000000000,4,2010-03-23,2014-05-05,1
Accelerated Orthopedic Technologies,['Health Care'],150000.0,USA,CT,2008-02-05 13:31:02.880490288,1,2012-05-18,2012-05-18,0
Accelerated Technologies,"['Medical', 'Medical Devices', 'Technology']",32000000.0,USA,NY,1999-09-26 13:31:02.880490288,1,2004-01-07,2004-01-07,0
Accelerize New Media,['Enterprise Software'],4045500.0,USA,CA,2005-01-01 00:00:00.000000000,3,2010-05-10,2014-04-16,1
Acceleron Pharma,['Biotechnology'],113701127.0,USA,MA,2004-01-01 00:00:00.000000000,6,2006-08-02,2011-12-23,1
AccelGolf,"['Apps', 'Finance', 'Mobile', 'Sports']",457282.0,USA,MA,2008-08-01 00:00:00.000000000,7,2008-01-01,2009-12-04,0
Accelight Networks,"['Consumer Electronics', 'Electronics', 'Manufacturing']",60000000.0,USA,PA,1999-01-01 00:00:00.000000000,1,2001-11-19,2001-11-19,0
AccelOne,['Software'],225000.0,USA,WA,2013-01-01 00:00:00.000000000,1,2014-04-29,2014-04-29,0
Accent Optical Technologies,"['Semiconductors', 'Technology', 'Wireless']",15900000.0,SGP,unknown,1996-09-08 13:31:02.880490288,1,2000-12-20,2000-12-20,0
Accentia Biopharmaceuticals Inc,"['Biotechnology', 'Health and Wellness']",775000.0,USA,FL,2002-01-01 00:00:00.000000000,2,2012-02-08,2013-06-25,1
Accenx Technologies,['Software'],4500000.0,USA,CA,1997-01-01 00:00:00.000000000,2,2007-09-13,2009-02-27,1
Accept Software,"['Career Management', 'Software']",25305000.0,USA,CA,2002-01-01 00:00:00.000000000,4,2005-09-16,2010-12-14,1
Accertify,"['Credit Cards', 'Fraud Detection', 'Security']",7131124.0,USA,IL,2007-03-01 00:00:00.000000000,3,2008-06-03,2010-05-04,1
Access Closure,['Health Care'],13793098.0,USA,CA,2002-01-01 00:00:00.000000000,3,2010-03-03,2012-10-01,1
Access Northeast,"['Cloud Computing', 'Data Centers', 'Networking', 'Services', 'Software', 'Web Hosting']",1999998.0,USA,MA,1999-01-01 00:00:00.000000000,1,2009-11-23,2009-11-23,1
Access Pharmaceuticals,['Biotechnology'],15581502.0,USA,TX,2007-08-03 13:31:02.880490288,2,2011-11-14,2012-11-06,0
Access Scientific,['Health Care'],21376001.0,USA,CA,2004-01-01 00:00:00.000000000,6,2009-10-06,2012-06-21,1
Inherited Health,['Health and Wellness'],1155000.0,USA,CA,2007-11-01 00:00:00.000000000,2,2008-01-01,2009-08-01,1
Acclaim Games,['Games'],41358853.86867132,USA,CA,1997-12-24 00:00:00.000000000,1,2007-10-18,2007-10-18,1
Acclarent,"['Biotechnology', 'Medical']",35000000.0,USA,CA,2004-06-01 00:00:00.000000000,1,2007-04-23,2007-04-23,1
Acclaris Holdings,"['Development Platforms', 'Health Care', 'Software']",5000000.0,USA,FL,2010-01-01 00:00:00.000000000,1,2004-07-21,2004-07-21,1
Acco Brands,['Hardware + Software'],10000000.0,USA,IL,1947-01-01 00:00:00.000000000,1,2007-02-01,2007-02-01,1
Accord,['Real Estate'],41358853.86867132,USA,CA,2013-01-01 00:00:00.000000000,1,2014-05-12,2014-05-12,0
Accordent Technologies,['Consulting'],4000000.0,USA,CA,2001-12-16 13:31:02.880490288,1,2006-03-29,2006-03-29,1
Accordion Health,"['Big Data Analytics', 'Health Care Information Technology', 'SaaS']",150000.0,USA,TX,2014-05-14 00:00:00.000000000,1,2014-07-02,2014-07-02,0
Accrue Search Concepts dba Boounce,"['Search', 'Software', 'Vertical Search']",200000.0,SGP,unknown,2010-05-20 00:00:00.000000000,1,2010-05-20,2010-05-20,0
Accumedia,['Software'],2000000.0,SGP,unknown,1997-11-16 13:31:02.880490288,1,2002-02-27,2002-02-27,0
Accumetrics,['Biotechnology'],110640466.0,USA,CA,1996-01-01 00:00:00.000000000,9,2003-05-16,2013-08-30,1
Accupost Corporation,['Software'],41358853.86867132,USA,CO,1998-04-20 13:31:02.880490288,1,2002-08-01,2002-08-01,1
Accuvant,['Security'],8198838.0,USA,CO,2002-01-01 00:00:00.000000000,4,2008-07-01,2014-10-17,1
AcelRx Pharmaceuticals,"['Biotechnology', 'Health Care']",93654902.0,USA,CA,2005-08-12 13:31:02.880490288,5,2009-11-23,2013-12-19,1
Acendi Interactive,['Security'],2090000.0,USA,CA,2004-09-28 13:31:02.880490288,1,2009-01-09,2009-01-09,0
Aceris 3D Inspection,['Semiconductors'],4880000.0,CAN,QC,2000-01-01 00:00:00.000000000,1,2007-05-30,2007-05-30,0
Acerta Pharma,['Biotechnology'],41358853.86867132,USA,CA,2008-12-01 13:31:02.880490288,1,2013-03-14,2013-03-14,0
Aceva Technologies,['Enterprise Software'],5280000.0,USA,CA,1999-01-01 00:00:00.000000000,1,2005-07-21,2005-07-21,1
Achaogen,"['Biotechnology', 'Health Care']",116605707.0,USA,CA,2004-01-01 00:00:00.000000000,4,2004-08-01,2013-03-22,1
Acheive CCA,['Finance'],5000000.0,USA,IN,2004-11-06 13:31:02.880490288,1,2009-02-17,2009-02-17,0
Achiever,"['Self Development', 'Social Network Media']",120000.0,SGP,unknown,2013-12-11 00:00:00.000000000,1,2013-12-20,2013-12-20,0
Achievers,"['Employer Benefits Programs', 'Incentives', 'Services', 'Software']",52422326.0,USA,CA,1995-01-01 00:00:00.000000000,5,2007-11-29,2011-09-28,1
Achillion Pharmaceuticals,"['Biotechnology', 'Health Care']",91100000.0,USA,CT,1998-01-01 00:00:00.000000000,2,2002-01-28,2010-08-18,1
Aciex Therapeutics,['Biotechnology'],9599860.0,USA,MA,2003-05-21 13:31:02.880490288,3,2007-09-01,2014-04-24,1
Blackwave,"['Social Media', 'Storage', 'Video Streaming', 'Web Hosting']",28000000.0,USA,MA,2006-01-01 00:00:00.000000000,3,2006-12-01,2009-09-30,1
Acirro,['Software'],9500000.0,USA,CA,1997-02-18 13:31:02.880490288,1,2001-06-01,2001-06-01,1
Acision,['Mobile'],100000000.0,IND,10,1992-01-01 00:00:00.000000000,1,2010-10-05,2010-10-05,1
Aclaris Therapeutics,['Biotechnology'],82000000.0,USA,PA,2008-07-13 13:31:02.880490288,3,2012-10-24,2015-09-09,1
Acme Packet,"['Telecommunications', 'Web Hosting']",38247779.0,USA,MA,1997-06-27 13:31:02.880490288,2,2001-10-08,2009-05-14,1
Acompli,"['Android', 'Consumer Internet', 'Email', 'Enterprise Software', 'iOS', 'Mobile', 'Mobile Security', 'SaaS']",7300000.0,USA,CA,2013-06-01 00:00:00.000000000,1,2013-06-04,2013-06-04,1
Acopia Networks,['Software'],75000000.0,USA,MA,2002-01-01 00:00:00.000000000,3,2003-05-21,2006-06-19,1
